,Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
2,336644,NA,NA,NA,Dhol Bhangra Night,2019-04-10,2019-04-11
3,336889,NA,NA,NA,Cocktail Wednesday,2019-04-10,2019-04-10
4,336888,NA,NA,NA,Cocktail Wednesday,2019-04-10,2019-04-10
5,336890,NA,NA,NA,Cocktail Wednesday,2019-04-10,2019-04-10
6,336894,NA,NA,NA,Hip Hop Friday,2019-04-12,2019-04-12
7,336903,NA,NA,NA,Urban Saturday,2019-04-13,2019-04-13
10,336622,NA,NA,NA,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
11,336251,NA,NA,NA,Commercial Night,2019-04-10,2019-04-11
12,336248,NA,NA,NA,Ladies Night,2019-04-11,2019-04-11
19,337099,NA,NA,NA,Live Sports Screening,2019-04-09,2019-05-18
20,337096,NA,NA,NA,Poila Baishak,2019-04-14,2019-04-15
21,337102,NA,NA,NA,Poila Baishak Special,2019-04-14,2019-04-15
23,334818,NA,NA,NA,Poila Baishakh Buffet,2019-04-15,2019-04-15
25,337247,NA,NA,NA,Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
26,333108,NA,NA,NA,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
27,334920,NA,NA,NA,Ladies Night,2019-04-11,2019-04-11
28,334922,NA,NA,NA,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
29,336892,NA,NA,NA,Bombay Velvet,2019-04-11,2019-04-12
30,336898,NA,NA,NA,Zulfi Performing Live,2019-04-12,2019-04-13
32,336881,NA,NA,NA,Juggy & Band Live,2019-04-10,2019-04-11
33,318235,NA,NA,NA,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
35,337298,NA,NA,NA,Happy Hours,2019-04-09,2020-05-29
36,336620,NA,NA,NA,Glam & Glitz Bolly Molly Ladies Retro Night,2019-04-10,2019-04-11
37,336992,NA,NA,NA,MTV Swag Ladies Night,2019-04-11,2019-04-12
38,337480,NA,NA,NA,Friday Night,2019-04-12,2019-04-13
39,337300,NA,NA,NA,Saturday Night,2019-04-13,2019-04-14
40,337023,NA,NA,NA,Sunday Night,2019-04-14,2019-04-15
41,336281,NA,NA,NA,Ink-A-Laugh Presents Bearly Funny,2019-04-11,2019-04-11
42,336279,NA,NA,NA,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
61,335948,NA,NA,NA,Ladies & Models Night Ft. DJ Njay,2019-04-11,2019-04-12
62,335953,NA,NA,NA,Friday Night Ft. Kaleem & Basand,2019-04-12,2019-04-13
63,335954,NA,NA,NA,Saturday Night Ft. Kaleem & Basand,2019-04-13,2019-04-14
64,335989,NA,NA,NA,Unplugged Night Ft. Saher,2019-04-14,2019-04-15
66,334204,NA,NA,NA,Multiple Corporate Offers at the Black Pearl Marathahalli,2019-04-02,2020-03-31
67,334206,NA,NA,NA,Early Bird & Late Bird Offers at Black Pearl,2019-04-02,2020-03-31
68,334210,NA,NA,NA,Cocktails and Mocktails offers at Black Pearl,2019-04-02,2020-03-31
73,336921,NA,NA,NA,Unlimited Alcohol Offers at The Black Pearl,2019-04-08,2020-03-31
74,336924,NA,NA,NA,"Every 11 pax get 1 free buffet, Every 20 pax get 2 free buffet",2019-04-08,2020-03-31
75,336929,NA,NA,NA,Early Bird Offer & Full Bottle Offer,2019-04-08,2020-03-31
76,336932,NA,NA,NA,Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
77,251427,NA,NA,NA,The Desi Electrifier Night | Every Wednesday | Ft. DJ 303K | Bollywood Deep House,2019-04-10,2019-04-10
78,194302,NA,NA,NA,Planning an office event? | Corporate Packages & Discounts,2019-04-11,2019-04-11
79,332104,NA,NA,NA,Live T-20 Sports Screening | Beer Pitchers @ 500/-,2019-04-11,2019-04-11
80,262407,NA,NA,NA,BollyEDM Night | This Friday | Ft. DJ Ashwin | EDM and Bollywood Night,2019-04-12,2019-04-12
81,199069,NA,NA,NA,Bollywood Night Ft. DJ SAM | Live Dhol Performance,2019-04-13,2019-04-13
82,206595,NA,NA,NA,Sunday Brunch,2019-04-14,2019-04-14
83,288350,NA,NA,NA,Sunday Rewind | Ft. DJ Sam,2019-04-14,2019-04-14
84,204342,NA,NA,NA,Corporate Lunch | Buffet | Monday - Saturday | @ INR 599,2019-04-15,2019-04-15
85,264218,NA,NA,NA,Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
87,309852,NA,NA,NA,Happy Corporate Hours: 15% off!,2019-04-02,2019-05-07
88,317312,NA,NA,NA,Happy Hours @ Reservoire,2019-04-09,2019-05-26
89,337463,NA,NA,NA,SUNDAY TIKI BRUNCH,2019-04-09,2019-06-09
97,320441,NA,NA,NA,Happy Hours Menu,2019-04-08,2019-04-30
98,317384,NA,NA,NA,Plan Your Corporate Event!,2019-04-08,2019-04-30
99,319262,NA,NA,NA,X019' Match Screening,2019-04-09,2019-05-05
100,314958,NA,NA,NA,Unlimited Sparkling Wine Brunch !,2019-04-13,2019-04-30
102,337514,NA,NA,NA,"queen bees , ladies night",2019-04-10,2019-04-10
104,337013,NA,NA,NA,Alcoholic Weekdays!,2019-04-09,2019-04-11
105,337015,NA,NA,NA,Girls Night Out,2019-04-10,2019-04-10
107,329559,NA,NA,NA,Grandma's Quiz Night!,2019-04-11,2019-04-11
108,336866,NA,NA,NA,Gossip & Giggles,2019-04-08,2019-12-31
109,336867,NA,NA,NA,A Night to Remember,2019-04-08,2019-12-31
110,336718,NA,NA,NA,HAPPY DAYS 1+1,2019-04-08,2019-05-31
113,337114,NA,NA,NA,IPL Quiz Night,2019-04-10,2019-04-10
114,337273,NA,NA,NA,LIVE SCREENING,2019-04-09,2019-04-30
116,337301,NA,NA,NA,Meghna Dundi Trio LIVE,2019-04-10,2019-04-10
118,336905,NA,NA,NA,Electronic Fridays with YOGI!,2019-04-12,2019-04-13
119,333451,NA,NA,NA,Early Bird Offer on Buffet!,2019-04-01,2020-03-31
120,333452,NA,NA,NA,Corporate Offers at The Black Pearl Chennai,2019-04-01,2020-03-31
121,333454,NA,NA,NA,Special offers for Senior citizens and Complimentary mocktail per diner!,2019-04-01,2020-03-31
122,336453,NA,NA,NA,Support Namma CSK,2019-04-07,2019-05-30
123,337249,NA,NA,NA,Tamil Puthandu in Pirates Style,2019-04-14,2019-04-14
126,335804,NA,NA,NA,Saturday Night with DJ SAAD!,2019-04-13,2019-04-14
127,335809,NA,NA,NA,Sunday Night with Indie Street Rockers!,2019-04-14,2019-04-15
129,336239,NA,NA,NA,Unlimited Navratri Chaat,2019-04-06,2019-04-13
132,336485,NA,NA,NA,Wow Wednesday,2019-04-10,2019-04-10
133,334436,NA,NA,NA,GOOD MORNING JAIPUR,2019-04-03,2019-04-30
